EPOCH,LR_CHANGE,NEURON,STRATEGY,Frez,itr1,itr2,itr3,itr4,itr5
1.0,1.0,512.0,front,1.0,0.8027999997138977,0.828000009059906,0.8296999931335449,0.835099995136261,0.8514000177383423
1.0,1.0,512.0,front,0.0,0.8158000111579895,0.8098999857902527,0.8375999927520752,0.840399980545044,0.8597999811172485
1.0,1.0,512.0,back,1.0,0.8285999894142151,0.8582000136375427,0.8646000027656555,0.8677999973297119,0.8695999979972839
1.0,1.0,512.0,back,0.0,0.850600004196167,0.8655999898910522,0.8733000159263611,0.8809000253677368,0.8791000247001648
1.0,1.0,256.0,front,1.0,0.7001000046730042,0.7141000032424927,0.7178999781608582,0.7199000120162964,0.8149999976158142
1.0,1.0,256.0,front,0.0,0.694100022315979,0.7146000266075134,0.7193999886512756,0.7315999865531921,0.8367000222206116
1.0,1.0,256.0,back,1.0,0.8460000157356262,0.8364999890327454,0.8579999804496765,0.8590999841690063,0.863099992275238
1.0,1.0,256.0,back,0.0,0.8385999798774719,0.8579000234603882,0.8672000169754028,0.8726000189781189,0.8741000294685364
1.0,1.0,128.0,front,1.0,0.5490000247955322,0.5648000240325928,0.5738000273704529,0.5782999992370605,0.8026000261306763
1.0,1.0,128.0,front,0.0,0.546500027179718,0.5702999830245972,0.5879999995231628,0.5954999923706055,0.8277000188827515
1.0,1.0,128.0,back,1.0,0.8342000246047974,0.8468000292778015,0.8458999991416931,0.8479999899864197,0.8493000268936157
1.0,1.0,128.0,back,0.0,0.836899995803833,0.8410000205039978,0.8626000285148621,0.8641999959945679,0.8684999942779541
1.0,1.0,64.0,front,1.0,0.44369998574256897,0.4648999869823456,0.4717000126838684,0.4763999879360199,0.7486000061035156
1.0,1.0,64.0,front,0.0,0.43810001015663147,0.4740000069141388,0.4862000048160553,0.4893999993801117,0.7897999882698059
1.0,1.0,64.0,back,1.0,0.8284000158309937,0.8357999920845032,0.8385999798774719,0.8356999754905701,0.8377000093460083
1.0,1.0,64.0,back,0.0,0.8295999765396118,0.8399999737739563,0.8511999845504761,0.853600025177002,0.8565000295639038
1.0,1.0,32.0,front,1.0,0.3215999901294708,0.34310001134872437,0.3481999933719635,0.3497999906539917,0.6491000056266785
1.0,1.0,32.0,front,0.0,0.3359000086784363,0.34529998898506165,0.3547999858856201,0.3614000082015991,0.720300018787384
1.0,1.0,32.0,back,1.0,0.8274000287055969,0.8312000036239624,0.8330000042915344,0.8327999711036682,0.8331999778747559
1.0,1.0,32.0,back,0.0,0.8220999836921692,0.835099995136261,0.8435999751091003,0.8445000052452087,0.8500999808311462
